timestamp,homeid,action,soc_kwh,grid_import_kwh,wasted_kwh,step_cost
2018-05-01 22:00:00,105,2,2.2210046783625734,0.0,-0.0,0.00012003222222222221
2018-05-01 23:00:00,105,2,2.0526596491228073,0.0,-0.0,0.0001599277777777777
2018-05-02 00:00:00,105,0,3.0,1.1523356471221913,0.0,0.03951978105263927
2018-05-02 01:00:00,105,1,3.0,0.1340030555555555,0.0,0.0052562698541666645
2018-05-02 02:00:00,105,1,3.0,0.1373244444444444,0.0,0.005570909399999997
2018-05-02 03:00:00,105,1,3.0,0.1519047222222222,0.0,0.006608614940277777
2018-05-02 04:00:00,105,1,3.0,0.1358944444444444,0.0,0.005863505541666651
2018-05-02 05:00:00,105,1,3.0,0.3530972222222222,0.0,0.016845385729166665
2018-05-02 06:00:00,105,1,3.0,0.1567180555555555,0.0,0.007720323211805553
2018-05-02 07:00:00,105,1,3.0,0.1395522222222222,0.0,0.006798635386111109
2018-05-02 08:00:00,105,2,2.87160350877193,0.0,-0.0,0.0001219766666666666
2018-05-02 09:00:00,105,2,2.728064912280702,0.0,-0.0,0.0001363616666666666
2018-05-02 10:00:00,105,2,2.5692137426900588,0.0,-0.0,0.0001509086111111111
2018-05-02 11:00:00,105,2,2.4404239766081877,0.0,-0.0,0.0001223502777777777
2018-05-02 12:00:00,105,2,2.3092488304093575,0.0,-0.0,0.0001246163888888888
2018-05-02 13:00:00,105,1,2.3092488304093575,0.048773932623321,0.0,0.002320297909722938
2018-05-02 14:00:00,105,1,2.3092488304093575,0.0,0.02585997192548109,0.0
2018-05-02 15:00:00,105,0,3.0,0.7902165242453449,0.0,0.0372528897862364
2018-05-02 16:00:00,105,1,3.0,1.0556584425688846,0.0,0.04902213892679258
2018-05-02 17:00:00,105,1,3.0,0.8957313713753587,0.0,0.04248006028747639
2018-05-02 18:00:00,105,1,3.0,0.5118977777777778,0.0,0.024851357366666667
2018-05-02 19:00:00,105,1,3.0,0.3308111111111111,0.0,0.018147470527777775
2018-05-02 20:00:00,105,2,2.683910526315789,0.0,-0.0,0.000300285
2018-05-02 21:00:00,105,2,2.445747660818713,0.0,-0.0,0.00022625472222222222
2018-05-02 22:00:00,105,2,2.2834312865497073,0.0,-0.0,0.0001542005555555555
2018-05-02 23:00:00,105,1,2.2834312865497073,0.1374433333333333,0.0,0.007022323508333319
2018-05-03 00:00:00,105,0,3.0,0.8777561895967994,0.0,0.04212073768148663
2018-05-03 01:00:00,105,1,3.0,0.3323255555555555,0.0,0.017399735274999998
2018-05-03 02:00:00,105,1,3.0,0.0,-0.0,0.0
2018-05-03 03:00:00,105,1,3.0,0.0,-0.0,0.0
2018-05-03 04:00:00,105,1,3.0,0.1140202777777777,0.0,0.005479814549999985
2018-05-03 05:00:00,105,1,3.0,0.2597988888888889,0.0,0.013662823566666668
2018-05-03 06:00:00,105,1,3.0,0.167655,0.0,0.0087784158
2018-05-03 07:00:00,105,2,2.852156432748538,0.0,-0.0,0.00014045138888888888
2018-05-03 08:00:00,105,2,2.695286842105263,0.0,-0.0,0.0001490261111111111
2018-05-03 09:00:00,105,2,2.569906432748538,0.0,-0.0,0.0001191113888888888
2018-05-03 10:00:00,105,2,2.4867108187134503,0.0,-0.0,7.90358333333333e-05
2018-05-03 11:00:00,105,1,2.4867108187134503,0.1606822222222222,0.0,0.0075572866166666655
2018-05-03 12:00:00,105,1,2.4867108187134503,0.1396825,0.0,0.006597204474999999
2018-05-03 13:00:00,105,1,2.4867108187134503,0.1189891666666666,0.0,0.005543110329166664
2018-05-03 14:00:00,105,0,3.0,0.6860702346875961,0.0,0.031972612203566474
2018-05-03 15:00:00,105,1,3.0,0.2660838888888889,0.0,0.011280626469444445
2018-05-03 16:00:00,105,1,3.0,0.3712766666666666,0.0,0.01707408570833333
2018-05-03 17:00:00,105,1,3.0,0.4895744444444444,0.0,0.024553382325
2018-05-03 18:00:00,105,1,3.0,0.3773525,0.0,0.01944969123125
2018-05-03 19:00:00,105,2,2.430777485380117,0.0,-0.0,0.0005407613888888889
2018-05-03 20:00:00,105,2,1.9559780701754386,0.0,-0.0,0.00045105944444444443
2018-05-03 21:00:00,105,2,1.6435991228070175,0.0,-0.0,0.00029676
2018-05-03 22:00:00,105,2,1.4791108187134503,0.0,-0.0,0.0001562638888888889
2018-05-03 23:00:00,105,2,1.3399295321637428,0.0,-0.0,0.00013222222222222221
2018-05-04 00:00:00,105,2,1.1935368421052632,0.0,-0.0,0.0001390730555555555
2018-05-04 01:00:00,105,0,2.618536842105263,1.6524494444444444,0.0,0.07887594523611095
2018-05-04 02:00:00,105,0,3.0,0.506634055093875,0.0,0.024408394866828255
2018-05-04 03:00:00,105,1,3.0,0.0,-0.0,0.0
2018-05-04 04:00:00,105,1,3.0,0.0790375,0.0,0.0037499341875
2018-05-04 05:00:00,105,1,3.0,0.2470702777777778,0.0,0.01175313311388889
2018-05-04 06:00:00,105,1,3.0,0.2968205555555555,0.0,0.014376503608333301
2018-05-04 07:00:00,105,2,2.609407894736842,0.0,-0.0,0.00037106250000000003
2018-05-04 08:00:00,105,1,2.609407894736842,0.2516586111111111,0.0,0.011978949888888889
2018-05-04 09:00:00,105,2,2.3132991228070177,0.0,-0.0,0.0002813033333333333
2018-05-04 10:00:00,105,2,1.9190038011695907,0.0,-0.0,0.0003745805555555556
2018-05-04 11:00:00,105,0,3.0,1.1593282356109573,0.0,0.05615381215652893
2018-06-01 03:00:00,106,0,2.925,1.5,0.0,0.07687874999999986
2018-06-01 04:00:00,106,1,2.925,0.0512230555555555,0.0,0.002540791613194442
2018-06-01 05:00:00,106,1,2.925,0.0920861111111111,0.0,0.004669456479166666
2018-06-01 06:00:00,106,1,2.925,0.0954627777777777,0.0,0.004916333055555552
2018-06-01 07:00:00,106,1,2.925,0.1312147222222222,0.0,0.006595179975694443
2018-06-01 08:00:00,106,1,2.925,0.0,0.1299878024131374,0.0
