timestamp,homeid,demand_kwh,solar_kwh,price_kwh,net_load_kwh,soc_kwh,grid_import_kwh,grid_export_kwh,wasted_kwh,throughput_kwh,step_cost,action,episode
2018-04-29 07:00:00,105,0.15202388167381287,0.0,0.047120001167058945,0.15202388167381287,1.3399748613959865,0.0,-0.0,-0.0,0.15202388167381287,0.00015202388167381286,2,
2018-04-29 08:00:00,105,0.14912472665309906,0.0,0.048852499574422836,0.14912472665309906,1.1830014649190401,0.0,-0.0,-0.0,0.14912472665309906,0.00014912472665309907,2,
2018-04-29 09:00:00,105,0.1322963833808899,0.022637639194726944,0.050702501088380814,0.10965874418616295,1.0675712078809738,0.0,-0.0,-0.0,0.10965874418616295,0.00010965874418616296,2,
2018-04-29 10:00:00,105,0.14914417266845703,0.07110744714736938,0.052264999598264694,0.07803672552108765,0.9854272862798289,0.0,-0.0,-0.0,0.07803672552108765,7.803672552108765e-05,2,
2018-04-29 11:00:00,105,0.15005138516426086,0.11675477772951126,0.05133499950170517,0.0332966074347496,0.9503782258221978,0.0,-0.0,-0.0,0.0332966074347496,3.32966074347496e-05,2,
2018-04-29 12:00:00,105,0.13103333115577698,0.1850423812866211,0.05143500119447708,-0.054009050130844116,0.9503782258221978,0.0,0.054009050130844116,0.054009050130844116,0.0,0.0,2,
2018-04-29 13:00:00,105,0.14771027863025665,0.2245321422815323,0.05101750046014786,-0.07682186365127563,0.9503782258221978,0.0,0.07682186365127563,0.07682186365127563,0.0,0.0,2,
2018-04-29 14:00:00,105,0.15083888173103333,0.2739609479904175,0.049947500228881836,-0.12312206625938416,0.9503782258221978,0.0,0.12312206625938416,0.12312206625938416,0.0,0.0,2,
2018-04-29 15:00:00,105,0.30260804295539856,0.2973889410495758,0.05276999995112419,0.005219101905822754,0.9448844343423843,0.0,-0.0,-0.0,0.005219101905822754,5.219101905822754e-06,2,
2018-04-29 16:00:00,105,1.0285024642944336,0.1890135109424591,0.05572250112891197,0.8394889533519745,0.0612118518666217,0.0,-0.0,-0.0,0.8394889533519745,0.0008394889533519745,2,
2018-04-29 17:00:00,105,0.31220555305480957,0.08342942595481873,0.059505000710487366,0.22877612709999084,0.0,0.17062486782670022,0.0,0.0,0.058151259273290616,0.010211184140527902,2,
2018-04-29 18:00:00,105,0.46972888708114624,3.5259807763546734e-17,0.05897999927401543,0.4697288870811462,0.0,0.4697288870811462,0.0,0.0,0.0,0.027704609419030076,2,
2018-04-29 19:00:00,105,0.7144111394882202,0.0,0.05629749968647957,0.7144111394882202,0.0,0.7144111394882202,0.0,0.0,0.0,0.04021956090135559,2,
2018-04-29 20:00:00,105,0.4550241529941559,0.0,0.05646749958395958,0.4550241529941559,0.0,0.4550241529941559,0.0,0.0,0.0,0.025694076169889057,2,
2018-04-29 21:00:00,105,0.14683471620082855,0.0,0.052515000104904175,0.14683471620082855,0.0,0.14683471620082855,0.0,0.0,0.0,0.007711025136690086,2,
2018-04-29 22:00:00,105,0.16067305207252502,0.0,0.05123249813914299,0.16067305207252502,0.0,0.16067305207252502,0.0,0.0,0.0,0.008231681841316063,2,
2018-04-29 23:00:00,105,0.1438572257757187,0.0,0.04909750074148178,0.1438572257757187,0.0,0.1438572257757187,0.0,0.0,0.0,0.00706303024919086,2,
2018-04-30 00:00:00,105,0.1274716705083847,-0.0,0.04743500053882599,0.1274716705083847,0.0,0.1274716705083847,0.0,0.0,0.0,0.006046618759250277,2,
2018-04-30 01:00:00,105,0.1553669422864914,-0.0,0.04504749923944473,0.1553669422864914,0.0,0.1553669422864914,0.0,0.0,0.0,0.006998892214485575,2,
