method,total_cost,grid_import_kwh,wasted_kwh,saving_vs_no_battery_%,cost_gap_vs_oracle_%
No battery,94.63218205967387,1827.4078570386664,357.12616638812796,0.0,1.4186664273082943
Oracle greedy baseline,93.30844645596022,1899.24970618229,330.9151969310464,1.3988218118852132,0.0
FL/LSTM + FL/PPO,88.56883679418229,1702.9781810296479,239.60529515445953,6.4072761860950305,-5.079507634943785
